#format: frame checksums
#version: 2
#hash: MD5
#software: Lavf62.3.100
#tb 0: 1/4
#media_type 0: video
#codec_id 0: rawvideo
#dimensions 0: 180x320
#sar 0: 1/1
#stream#, dts,        pts, duration,     size, hash
0,          0,          0,        1,    86400, 968950a81305cd3bdafb539adebc321f
0,          1,          1,        1,    86400, fcb0ec8dbd3fe57a5eeff179b2aeff87
0,          2,          2,        1,    86400, 5348b8a9f3e3b2ef04c42a1ea4290187
0,          3,          3,        1,    86400, 6114a1016357d9d365f7af4d644c0fc6
0,          4,          4,        1,    86400, 6667b569bd152761f9d566cc190eff50
0,          5,          5,        1,    86400, b34522c204fe2d8002976baf9445cfe8
0,          6,          6,        1,    86400, b898cf3584146b05115c997f7220ffdf
0,          7,          7,        1,    86400, 49b589691342214724c233a91bad4dc5
0,          8,          8,        1,    86400, c1e38d953860be25d540948803dbabfa
0,          9,          9,        1,    86400, 91748ef342137555619b155c82b06677
0,         10,         10,        1,    86400, 1ba0d416567d3588d209ee2581445c2f
0,         11,         11,        1,    86400, a73f2e35f0bec847ff916a89bc18b3a5
