global_time_seconds,relative_time_seconds,strength,rejection_reason,sub_bass_35_95_strength,low_bass_45_130_strength,bass_body_55_180_strength
7.277098,1.277098,0.776115,not_confirmed_as_audible_bass_drum_hit,0.184143,0.157034,0.049268
8.263946,2.263946,0.742042,not_confirmed_as_audible_bass_drum_hit,0.036559,0.064326,0.095208
16.983039,10.983039,0.968307,not_confirmed_as_audible_bass_drum_hit,0.800418,0.709587,0.224676
18.341406,12.341406,1.000000,manual_review_no_audible_bass_drum_prior_low_frequency_false_positive_region,1.070067,1.154382,1.083896
18.805805,12.805805,0.846605,manual_review_no_audible_bass_drum_prior_low_frequency_false_positive_region,0.436080,0.244271,0.257302
19.258594,13.258594,0.906464,manual_review_no_audible_bass_drum_prior_low_frequency_false_positive_region,0.766497,0.266214,0.263130
19.711383,13.711383,0.834329,manual_review_no_audible_bass_drum_prior_low_frequency_false_positive_region,0.242805,0.324376,0.390446
20.744671,14.744671,1.000000,manual_review_no_audible_bass_drum_prior_low_frequency_false_positive_region,0.924528,0.954984,0.684991
24.053515,18.053515,0.834932,not_confirmed_as_audible_bass_drum_hit,0.269384,0.322199,0.342385
25.110023,19.110023,0.790580,not_confirmed_as_audible_bass_drum_hit,0.147433,0.191768,0.261426
25.667302,19.667302,0.776022,not_confirmed_as_audible_bass_drum_hit,0.148110,0.146694,0.147212
26.294240,20.294240,0.820635,not_confirmed_as_audible_bass_drum_hit,0.250349,0.268894,0.290375
27.014059,21.014059,0.751069,not_confirmed_as_audible_bass_drum_hit,0.066313,0.030911,0.205523
27.594558,21.594558,0.776565,not_confirmed_as_audible_bass_drum_hit,0.178136,0.172563,0.041531
28.117007,22.117007,0.744484,not_confirmed_as_audible_bass_drum_hit,0.079246,0.072147,0.017614
28.685896,22.685896,0.753662,not_confirmed_as_audible_bass_drum_hit,0.150584,0.036058,0.041027
30.160363,24.160363,0.778118,not_confirmed_as_audible_bass_drum_hit,0.098684,0.181907,0.224382
