frame,relative_time_seconds,global_time_seconds,pulse,energy_norm
0,0.000000,6.000000,0.018334,0.000000
1,0.041667,6.041667,0.029129,0.104679
2,0.083333,6.083333,0.046279,0.006194
3,0.125000,6.125000,0.073527,0.022660
4,0.166667,6.166667,0.116818,0.018291
5,0.208333,6.208333,0.185598,0.086936
6,0.250000,6.250000,0.294873,0.035002
7,0.291667,6.291667,0.468486,0.119553
8,0.333333,6.333333,0.744319,0.871361
9,0.375000,6.375000,0.936493,0.744906
10,0.416667,6.416667,0.781318,0.007287
11,0.458333,6.458333,0.651856,0.000000
12,0.500000,6.500000,0.543845,0.001865
13,0.541667,6.541667,0.453731,0.002347
14,0.583333,6.583333,0.378549,0.001026
15,0.625000,6.625000,0.315824,0.017223
16,0.666667,6.666667,0.263493,0.003503
17,0.708333,6.708333,0.356790,0.000000
18,0.750000,6.750000,0.566859,0.353834
19,0.791667,6.791667,0.900611,1.000000
20,0.833333,6.833333,0.869187,0.510598
21,0.875000,6.875000,0.725165,0.000000
22,0.916667,6.916667,0.605007,0.000000
23,0.958333,6.958333,0.504758,0.000000
24,1.000000,7.000000,0.421121,0.000000
25,1.041667,7.041667,0.351342,0.032302
26,1.083333,7.083333,0.293126,0.491897
27,1.125000,7.125000,0.244555,0.201092
28,1.166667,7.166667,0.227531,0.000000
29,1.208333,7.208333,0.361495,0.000677
30,1.250000,7.250000,0.574334,0.034465
31,1.291667,7.291667,0.728479,0.133991
32,1.333333,7.333333,0.607772,0.052384
33,1.375000,7.375000,0.507065,0.013727
34,1.416667,7.416667,0.423046,0.015640
35,1.458333,7.458333,0.352948,0.000000
36,1.500000,7.500000,0.294465,0.000000
37,1.541667,7.541667,0.245673,0.105177
38,1.583333,7.583333,0.254012,0.025085
39,1.625000,7.625000,0.403568,0.000000
40,1.666667,7.666667,0.641178,0.618203
41,1.708333,7.708333,0.992781,0.997028
42,1.750000,7.750000,0.828280,0.141366
43,1.791667,7.791667,0.691036,0.000000
44,1.833333,7.833333,0.576533,0.000000
45,1.875000,7.875000,0.481003,0.036223
46,1.916667,7.916667,0.401302,0.016652
47,1.958333,7.958333,0.334807,0.018704
48,2.000000,8.000000,0.279330,0.009885
49,2.041667,8.041667,0.233046,0.000000
50,2.083333,8.083333,0.194431,0.008954
51,2.125000,8.125000,0.162214,0.023006
52,2.166667,8.166667,0.251772,0.000000
53,2.208333,8.208333,0.400009,0.004074
54,2.250000,8.250000,0.635524,0.043707
55,2.291667,8.291667,0.657787,0.013904
56,2.333333,8.333333,0.548793,0.000000
57,2.375000,8.375000,0.457859,0.000000
58,2.416667,8.416667,0.381993,0.000000
59,2.458333,8.458333,0.318698,0.000000
60,2.500000,8.500000,0.265890,0.009690
61,2.541667,8.541667,0.221833,0.050228
62,2.583333,8.583333,0.185076,0.147688
63,2.625000,8.625000,0.213629,0.292998
64,2.666667,8.666667,0.339409,0.253227
65,2.708333,8.708333,0.539244,0.409844
66,2.750000,8.750000,0.856738,0.705864
67,2.791667,8.791667,0.876243,0.229431
68,2.833333,8.833333,0.731052,0.000000
69,2.875000,8.875000,0.609918,0.000000
70,2.916667,8.916667,0.508856,0.000000
71,2.958333,8.958333,0.424540,0.000000
72,3.000000,9.000000,0.354195,0.000000
73,3.041667,9.041667,0.295505,0.026597
74,3.083333,9.083333,0.296510,0.042076
75,3.125000,9.125000,0.471088,0.028600
76,3.166667,9.166667,0.748452,0.942043
77,3.208333,9.208333,0.934466,1.000000
78,3.250000,9.250000,0.779627,0.118763
79,3.291667,9.291667,0.650445,0.000000
80,3.333333,9.333333,0.542668,0.000000
81,3.375000,9.375000,0.452749,0.000000
