index,relative_time_seconds,global_time_seconds,strength,nearest_onset_strength,pulse_peak_frame,pulse_peak_relative_seconds,pulse_peak_offset_seconds
0,0.359909,6.359909,1.000000,1.010761055,9,0.375000,0.015091
1,0.801088,6.801088,1.000000,1.196073573,19,0.791667,-0.009421
2,1.277098,7.277098,0.776115,0.168544004,31,1.291667,0.014569
3,1.706667,7.706667,1.000000,1.091500062,41,1.708333,0.001666
4,2.263946,8.263946,0.742042,0.066202659,55,2.291667,0.027721
5,2.763175,8.763175,0.991799,0.816360860,67,2.791667,0.028492
6,3.192744,9.192744,1.000000,1.363168297,77,3.208333,0.015589
7,3.657143,9.657143,1.000000,1.175015036,88,3.666667,0.009524
8,4.098322,10.098322,1.000000,1.121067284,99,4.125000,0.026678
9,5.154830,11.154830,1.000000,1.067550020,124,5.166667,0.011837
10,5.596009,11.596009,1.000000,1.234950023,135,5.625000,0.028991
11,6.501587,12.501587,1.000000,0.872614285,156,6.500000,-0.001587
12,7.546485,13.546485,1.000000,1.312704375,181,7.541667,-0.004818
13,7.999274,13.999274,1.000000,1.386944557,192,8.000000,0.000726
14,8.452063,14.452063,1.000000,1.222892807,203,8.458333,0.006270
15,8.893243,14.893243,1.000000,1.079683709,214,8.916667,0.023424
16,9.949751,15.949751,1.000000,1.146281139,239,9.958333,0.008582
17,10.402540,16.402540,1.000000,1.185130139,250,10.416667,0.014127
18,10.983039,16.983039,0.968307,0.745802116,264,11.000000,0.016961
19,12.341406,18.341406,1.000000,1.258082048,296,12.333333,-0.008073
20,12.805805,18.805805,0.846605,0.380264176,308,12.833333,0.027528
21,13.258594,19.258594,0.906464,0.560053709,318,13.250000,-0.008594
22,13.711383,19.711383,0.834329,0.343392163,329,13.708333,-0.003050
23,14.744671,20.744671,1.000000,1.012635033,354,14.750000,0.005329
24,15.209070,21.209070,1.000000,0.868987222,365,15.208333,-0.000737
25,15.801179,21.801179,1.000000,0.909023641,379,15.791667,-0.009512
26,17.147937,23.147937,1.000000,1.189342429,412,17.166667,0.018730
27,17.600726,23.600726,1.000000,1.114928837,423,17.625000,0.024274
28,18.053515,24.053515,0.834932,0.345202460,434,18.083333,0.029818
29,19.110023,25.110023,0.790580,0.211991090,459,19.125000,0.014977
30,19.667302,25.667302,0.776022,0.168264143,472,19.666667,-0.000635
31,20.294240,26.294240,0.820635,0.302262388,487,20.291667,-0.002573
32,21.014059,27.014059,0.751069,0.093315679,505,21.041667,0.027608
33,21.594558,27.594558,0.776565,0.169896067,518,21.583333,-0.011225
34,22.117007,28.117007,0.744484,0.073538085,531,22.125000,0.007993
35,22.685896,28.685896,0.753662,0.101104102,545,22.708333,0.022437
36,23.150295,29.150295,1.000000,0.994106592,556,23.166667,0.016372
37,23.603084,29.603084,1.000000,1.132036163,567,23.625000,0.021916
38,24.160363,30.160363,0.778118,0.174560813,580,24.166667,0.006304
