frame,relative_time_seconds,global_time_seconds,pulse,energy_norm
0,0.000000,6.000000,0.296534,0.387926
1,0.041667,6.041667,0.545533,0.673692
2,0.083333,6.083333,0.537402,0.666951
3,0.125000,6.125000,0.467291,0.699019
4,0.166667,6.166667,0.407772,0.714358
5,0.208333,6.208333,0.355666,0.703912
6,0.250000,6.250000,0.312080,0.693736
7,0.291667,6.291667,0.281589,0.723483
8,0.333333,6.333333,0.266715,0.898373
9,0.375000,6.375000,0.249170,0.972153
10,0.416667,6.416667,0.222424,0.911331
11,0.458333,6.458333,0.193787,0.814730
12,0.500000,6.500000,0.169017,0.733211
13,0.541667,6.541667,0.149007,0.678947
14,0.583333,6.583333,0.130956,0.620598
15,0.625000,6.625000,0.111023,0.545558
16,0.666667,6.666667,0.084239,0.367317
17,0.708333,6.708333,0.071842,0.188717
18,0.750000,6.750000,0.249658,0.402336
19,0.791667,6.791667,0.754234,0.920617
20,0.833333,6.833333,0.800002,0.980885
21,0.875000,6.875000,0.682477,0.901871
22,0.916667,6.916667,0.570932,0.738100
23,0.958333,6.958333,0.466868,0.485921
24,1.000000,7.000000,0.384025,0.301778
25,1.041667,7.041667,0.376064,0.377057
26,1.083333,7.083333,0.486223,0.677016
27,1.125000,7.125000,0.468527,0.736532
28,1.166667,7.166667,0.402440,0.659231
29,1.208333,7.208333,0.347894,0.641706
30,1.250000,7.250000,0.303191,0.632225
31,1.291667,7.291667,0.264962,0.611350
32,1.333333,7.333333,0.233623,0.604332
33,1.375000,7.375000,0.209564,0.610789
34,1.416667,7.416667,0.192140,0.667569
35,1.458333,7.458333,0.173291,0.649986
36,1.500000,7.500000,0.155956,0.621597
37,1.541667,7.541667,0.142688,0.642396
38,1.583333,7.583333,0.122601,0.575072
39,1.625000,7.625000,0.139854,0.361808
40,1.666667,7.666667,0.365767,0.643744
41,1.708333,7.708333,0.673899,0.980315
42,1.750000,7.750000,0.667416,0.955840
43,1.791667,7.791667,0.570278,0.863973
44,1.833333,7.833333,0.489141,0.806912
45,1.875000,7.875000,0.423088,0.782605
46,1.916667,7.916667,0.367940,0.757532
47,1.958333,7.958333,0.323165,0.746801
48,2.000000,8.000000,0.288875,0.778973
49,2.041667,8.041667,0.260335,0.804221
50,2.083333,8.083333,0.234609,0.803806
51,2.125000,8.125000,0.211900,0.801947
52,2.166667,8.166667,0.190760,0.777219
53,2.208333,8.208333,0.172484,0.745369
54,2.250000,8.250000,0.159581,0.757736
55,2.291667,8.291667,0.144189,0.753909
56,2.333333,8.333333,0.112153,0.551678
57,2.375000,8.375000,0.071403,0.219412
58,2.416667,8.416667,0.045992,0.076233
59,2.458333,8.458333,0.034686,0.043612
60,2.500000,8.500000,0.028522,0.033555
61,2.541667,8.541667,0.024574,0.030279
62,2.583333,8.583333,0.027652,0.048886
63,2.625000,8.625000,0.044889,0.279511
64,2.666667,8.666667,0.063301,0.365883
65,2.708333,8.708333,0.215179,0.573742
66,2.750000,8.750000,0.629621,0.933689
67,2.791667,8.791667,0.665586,0.948582
68,2.833333,8.833333,0.567156,0.864107
69,2.875000,8.875000,0.470688,0.679591
70,2.916667,8.916667,0.376658,0.389632
71,2.958333,8.958333,0.297740,0.139933
72,3.000000,9.000000,0.247914,0.091872
73,3.041667,9.041667,0.220753,0.246575
74,3.083333,9.083333,0.187414,0.202677
75,3.125000,9.125000,0.195058,0.102738
76,3.166667,9.166667,0.419347,0.565334
77,3.208333,9.208333,0.770392,0.957521
78,3.250000,9.250000,0.764110,0.945835
79,3.291667,9.291667,0.648087,0.843468
80,3.333333,9.333333,0.539162,0.662655
81,3.375000,9.375000,0.438864,0.412709
82,3.416667,9.416667,0.364464,0.241303
83,3.458333,9.458333,0.401229,0.516496
84,3.500000,9.500000,0.603123,0.786577
85,3.541667,9.541667,0.576101,0.631133
86,3.583333,9.583333,0.485470,0.454947
87,3.625000,9.625000,0.440835,0.736226
88,3.666667,9.666667,0.406222,0.952187
89,3.708333,9.708333,0.357829,0.911822
90,3.750000,9.750000,0.306575,0.794075
