frame,relative_time_seconds,global_time_seconds,pulse,energy_norm
0,0.000000,6.000000,0.086836,0.387926
1,0.041667,6.041667,0.127997,0.673692
2,0.083333,6.083333,0.160682,0.666951
3,0.125000,6.125000,0.208197,0.699019
4,0.166667,6.166667,0.271935,0.714358
5,0.208333,6.208333,0.357860,0.703912
6,0.250000,6.250000,0.476503,0.693736
7,0.291667,6.291667,0.642600,0.723483
8,0.333333,6.333333,0.661636,0.898373
9,0.375000,6.375000,0.569205,0.972153
10,0.416667,6.416667,0.484134,0.911331
11,0.458333,6.458333,0.409893,0.814730
12,0.500000,6.500000,0.347466,0.733211
13,0.541667,6.541667,0.295843,0.678947
14,0.583333,6.583333,0.261707,0.620598
15,0.625000,6.625000,0.342018,0.545558
16,0.666667,6.666667,0.448181,0.367317
17,0.708333,6.708333,0.598477,0.188717
18,0.750000,6.750000,0.833141,0.402336
19,0.791667,6.791667,0.823556,0.920617
20,0.833333,6.833333,0.704720,0.980885
21,0.875000,6.875000,0.597044,0.901871
22,0.916667,6.916667,0.500687,0.738100
23,0.958333,6.958333,0.412817,0.485921
24,1.000000,7.000000,0.340622,0.301778
25,1.041667,7.041667,0.293737,0.377057
26,1.083333,7.083333,0.290091,0.677016
27,1.125000,7.125000,0.387921,0.736532
28,1.166667,7.166667,0.513155,0.659231
29,1.208333,7.208333,0.691046,0.641706
30,1.250000,7.250000,0.618227,0.632225
31,1.291667,7.291667,0.524490,0.611350
32,1.333333,7.333333,0.446323,0.604332
33,1.375000,7.375000,0.381356,0.610789
34,1.416667,7.416667,0.329825,0.667569
35,1.458333,7.458333,0.282587,0.649986
36,1.500000,7.500000,0.278179,0.621597
37,1.541667,7.541667,0.370441,0.642396
38,1.583333,7.583333,0.491803,0.575072
39,1.625000,7.625000,0.651791,0.361808
40,1.666667,7.666667,0.898580,0.643744
41,1.708333,7.708333,0.781717,0.980315
42,1.750000,7.750000,0.665036,0.955840
43,1.791667,7.791667,0.562673,0.863973
44,1.833333,7.833333,0.477835,0.806912
45,1.875000,7.875000,0.407937,0.782605
46,1.916667,7.916667,0.348901,0.757532
47,1.958333,7.958333,0.299894,0.746801
48,2.000000,8.000000,0.318422,0.778973
49,2.041667,8.041667,0.422588,0.804221
50,2.083333,8.083333,0.563999,0.803806
51,2.125000,8.125000,0.707261,0.801947
52,2.166667,8.166667,0.600725,0.777219
53,2.208333,8.208333,0.510505,0.745369
54,2.250000,8.250000,0.437013,0.757736
55,2.291667,8.291667,0.374379,0.753909
56,2.333333,8.333333,0.309788,0.551678
57,2.375000,8.375000,0.245754,0.219412
58,2.416667,8.416667,0.226093,0.076233
59,2.458333,8.458333,0.307833,0.043612
60,2.500000,8.500000,0.422551,0.033555
61,2.541667,8.541667,0.581248,0.030279
62,2.583333,8.583333,0.696312,0.048886
63,2.625000,8.625000,0.599642,0.279511
64,2.666667,8.666667,0.511928,0.365883
65,2.708333,8.708333,0.446309,0.573742
66,2.750000,8.750000,0.402261,0.933689
67,2.791667,8.791667,0.347973,0.948582
68,2.833333,8.833333,0.296516,0.864107
69,2.875000,8.875000,0.255514,0.679591
70,2.916667,8.916667,0.319252,0.389632
71,2.958333,8.958333,0.416062,0.139933
72,3.000000,9.000000,0.567208,0.091872
73,3.041667,9.041667,0.644177,0.246575
74,3.083333,9.083333,0.541235,0.202677
75,3.125000,9.125000,0.450917,0.102738
76,3.166667,9.166667,0.407789,0.565334
77,3.208333,9.208333,0.371735,0.957521
78,3.250000,9.250000,0.320944,0.945835
79,3.291667,9.291667,0.272696,0.843468
80,3.333333,9.333333,0.325525,0.662655
81,3.375000,9.375000,0.418500,0.412709
82,3.416667,9.416667,0.556983,0.241303
83,3.458333,9.458333,0.778472,0.516496
84,3.500000,9.500000,0.831453,0.786577
85,3.541667,9.541667,0.697135,0.631133
86,3.583333,9.583333,0.581492,0.454947
87,3.625000,9.625000,0.510043,0.736226
88,3.666667,9.666667,0.448752,0.952187
89,3.708333,9.708333,0.383915,0.911822
90,3.750000,9.750000,0.324383,0.794075
