index,relative_time_seconds,global_time_seconds,strength,nearest_onset_relative_seconds,nearest_onset_distance_seconds,pulse_peak_frame,pulse_peak_relative_seconds,pulse_peak_offset_seconds
0,0.307500,6.307500,0.720000,0.010000,0.297500,8,0.333333,0.025833
1,0.760289,6.760289,0.931523,0.780000,0.019711,18,0.750000,-0.010289
2,1.213078,7.213078,0.720000,1.070000,0.143078,29,1.208333,-0.004745
3,1.665867,7.665867,0.917899,1.680000,0.014133,40,1.666667,0.000800
4,2.118656,8.118656,0.720000,1.680000,0.438656,51,2.125000,0.006344
5,2.571445,8.571445,0.775096,2.620000,0.048555,62,2.583333,0.011888
6,3.024234,9.024234,0.720000,3.180000,0.155766,73,3.041667,0.017433
7,3.477023,9.477023,0.918142,3.480000,0.002977,84,3.500000,0.022977
8,3.929812,9.929812,0.720000,4.080000,0.150188,94,3.916667,-0.013145
9,4.382601,10.382601,0.720000,4.080000,0.302601,105,4.375000,-0.007601
10,4.835390,10.835390,0.720000,4.980000,0.144610,116,4.833333,-0.002057
11,5.288179,11.288179,0.720000,5.140000,0.148179,127,5.291667,0.003488
12,5.740968,11.740968,0.720000,5.850000,0.109032,138,5.750000,0.009032
13,6.193757,12.193757,0.839309,6.200000,0.006243,149,6.208333,0.014576
14,6.646546,12.646546,0.720000,6.490000,0.156546,160,6.666667,0.020121
15,7.099335,13.099335,0.720000,7.530000,0.430665,171,7.125000,0.025665
16,7.552124,13.552124,0.924369,7.530000,0.022124,181,7.541667,-0.010457
17,8.004913,14.004913,0.922493,7.980000,0.024913,192,8.000000,-0.004913
18,8.457702,14.457702,0.941710,8.440000,0.017702,203,8.458333,0.000631
19,8.910491,14.910491,0.738932,8.830000,0.080491,214,8.916667,0.006176
20,9.363280,15.363280,0.720000,8.830000,0.533280,225,9.375000,0.011720
21,9.816069,15.816069,0.720000,9.940000,0.123931,236,9.833333,0.017264
22,10.268858,16.268858,0.720000,10.390000,0.121142,247,10.291667,0.022809
23,10.721647,16.721647,0.720000,10.390000,0.331647,257,10.708333,-0.013314
24,11.174436,17.174436,0.720000,10.390000,0.784436,268,11.166667,-0.007769
25,11.627225,17.627225,0.720000,12.330000,0.702775,279,11.625000,-0.002225
26,12.080014,18.080014,0.720000,12.330000,0.249986,290,12.083333,0.003319
27,12.532803,18.532803,0.720000,12.330000,0.202803,301,12.541667,0.008864
28,12.985592,18.985592,0.720000,12.330000,0.655592,312,13.000000,0.014408
29,13.438381,19.438381,0.720000,12.330000,1.108381,323,13.458333,0.019952
30,13.891170,19.891170,0.720000,14.580000,0.688830,334,13.916667,0.025497
31,14.343959,20.343959,0.720000,14.580000,0.236041,344,14.333333,-0.010626
32,14.796748,20.796748,0.768009,14.740000,0.056748,355,14.791667,-0.005081
33,15.249537,21.249537,0.763626,15.190000,0.059537,366,15.250000,0.000463
34,15.702326,21.702326,0.725660,15.790000,0.087674,377,15.708333,0.006007
35,16.155115,22.155115,0.720000,15.790000,0.365115,388,16.166667,0.011552
36,16.607904,22.607904,0.720000,15.790000,0.817904,399,16.625000,0.017096
37,17.060693,23.060693,0.720000,15.790000,1.270693,410,17.083333,0.022640
38,17.513482,23.513482,0.720000,15.790000,1.723482,420,17.500000,-0.013482
39,17.966271,23.966271,0.720000,15.790000,2.176271,431,17.958333,-0.007938
40,18.419060,24.419060,0.720000,20.290000,1.870940,442,18.416667,-0.002393
41,18.871849,24.871849,0.720000,20.290000,1.418151,453,18.875000,0.003151
42,19.324638,25.324638,0.720000,20.290000,0.965362,464,19.333333,0.008695
43,19.777427,25.777427,0.720000,20.290000,0.512573,475,19.791667,0.014240
44,20.230216,26.230216,0.763505,20.290000,0.059784,486,20.250000,0.019784
45,20.683005,26.683005,0.720000,20.290000,0.393005,497,20.708333,0.025328
46,21.135794,27.135794,0.720000,20.290000,0.845794,507,21.125000,-0.010794
47,21.588583,27.588583,0.720000,20.290000,1.298583,518,21.583333,-0.005250
48,22.041372,28.041372,0.720000,23.580000,1.538628,529,22.041667,0.000295
49,22.494161,28.494161,0.720000,23.580000,1.085839,540,22.500000,0.005839
50,22.946950,28.946950,0.720000,23.580000,0.633050,551,22.958333,0.011383
51,23.399739,29.399739,0.720000,23.580000,0.180261,562,23.416667,0.016928
52,23.852528,29.852528,0.810800,23.880000,0.027472,573,23.875000,0.022472
