index,relative_time_seconds,global_time_seconds,strength,nearest_onset_relative_seconds,nearest_onset_distance_seconds,pulse_peak_frame,pulse_peak_relative_seconds,pulse_peak_offset_seconds
0,0.418000,6.418000,0.789790,0.476009,0.058009,10,0.416667,-0.001333
1,1.021719,7.021719,1.000000,1.079728,0.058009,25,1.041667,0.019948
2,1.625438,7.625438,0.922413,1.683447,0.058009,39,1.625000,-0.000438
3,2.229156,8.229156,0.901686,2.287166,0.058009,54,2.250000,0.020844
4,2.832875,8.832875,0.764910,2.832834,0.000041,68,2.833333,0.000458
5,3.436594,9.436594,1.000000,3.482993,0.046399,83,3.458333,0.021739
6,4.040313,10.040313,0.991183,4.086712,0.046399,97,4.041667,0.001354
7,4.644032,10.644032,0.880945,4.702041,0.058009,112,4.666667,0.022635
8,5.247751,11.247751,0.973734,5.259320,0.011569,126,5.250000,0.002249
9,5.851469,11.851469,1.000000,5.851429,0.000041,141,5.875000,0.023531
10,6.455188,12.455188,0.959320,6.501587,0.046399,155,6.458333,0.003145
11,7.058907,13.058907,1.000000,7.093696,0.034789,170,7.083333,0.024426
12,7.662626,13.662626,0.720000,7.604535,0.058091,184,7.666667,0.004041
13,8.266345,14.266345,1.000000,8.277914,0.011569,199,8.291667,0.025322
14,8.870063,14.870063,1.000000,8.846803,0.023261,213,8.875000,0.004937
15,9.473782,15.473782,0.836604,9.496961,0.023179,228,9.500000,0.026218
16,10.077501,16.077501,1.000000,10.077460,0.000041,242,10.083333,0.005832
17,10.681220,16.681220,0.967671,10.646349,0.034871,257,10.708333,0.027113
18,11.284939,17.284939,0.877714,11.284898,0.000041,271,11.291667,0.006728
19,11.888658,17.888658,1.000000,11.888617,0.000041,286,11.916667,0.028009
20,12.492376,18.492376,0.855143,12.503946,0.011569,300,12.500000,0.007624
21,13.096095,19.096095,1.000000,13.084444,0.011651,315,13.125000,0.028905
22,13.699814,19.699814,0.821727,13.676553,0.023261,329,13.708333,0.008519
23,14.303533,20.303533,0.877146,14.291882,0.011651,344,14.333333,0.029800
24,14.907252,20.907252,0.776597,14.930431,0.023179,358,14.916667,0.009415
25,15.510971,21.510971,1.000000,15.487710,0.023261,372,15.500000,-0.010971
26,16.114689,22.114689,1.000000,16.079819,0.034871,387,16.125000,0.010311
27,16.718408,22.718408,1.000000,16.695147,0.023261,401,16.708333,-0.010075
28,17.322127,23.322127,0.873617,17.310476,0.011651,416,17.333333,0.011206
29,17.925846,23.925846,0.948549,17.902585,0.023261,430,17.916667,-0.009179
30,18.529565,24.529565,0.821762,18.471474,0.058091,445,18.541667,0.012102
31,19.133283,25.133283,0.805263,19.110023,0.023261,459,19.125000,-0.008283
32,19.737002,25.737002,0.724781,19.690522,0.046481,474,19.750000,0.012998
33,20.340721,26.340721,0.998976,20.305850,0.034871,488,20.333333,-0.007388
34,20.944440,26.944440,0.846960,20.909569,0.034871,503,20.958333,0.013893
35,21.548159,27.548159,0.732255,21.594558,0.046399,517,21.541667,-0.006492
36,22.151878,28.151878,0.742525,22.093787,0.058091,532,22.166667,0.014789
37,22.755596,28.755596,0.761763,22.767166,0.011569,546,22.750000,-0.005596
38,23.359315,29.359315,0.762779,23.301224,0.058091,561,23.375000,0.015685
39,23.963034,29.963034,1.000000,23.904943,0.058091,575,23.958333,-0.004701
