index,relative_time_seconds,global_time_seconds,strength,verification,pulse_peak_frame,pulse_peak_relative_seconds,pulse_peak_offset_seconds
0,0.359909,6.359909,1.000000,confirmed_bass_drum_hit,9,0.375000,0.015091
1,0.801088,6.801088,1.000000,confirmed_bass_drum_hit,20,0.833333,0.032245
2,1.706667,7.706667,1.000000,confirmed_bass_drum_hit,41,1.708333,0.001666
3,2.763175,8.763175,0.991799,confirmed_bass_drum_hit,67,2.791667,0.028492
4,3.192744,9.192744,1.000000,confirmed_bass_drum_hit,77,3.208333,0.015589
5,3.657143,9.657143,1.000000,confirmed_bass_drum_hit,88,3.666667,0.009524
6,4.098322,10.098322,1.000000,confirmed_bass_drum_hit,99,4.125000,0.026678
7,5.154830,11.154830,1.000000,confirmed_bass_drum_hit,124,5.166667,0.011837
8,5.596009,11.596009,1.000000,confirmed_bass_drum_hit,135,5.625000,0.028991
9,6.501587,12.501587,1.000000,confirmed_bass_drum_hit,157,6.541667,0.040080
10,7.546485,13.546485,1.000000,confirmed_bass_drum_hit,182,7.583333,0.036848
11,7.999274,13.999274,1.000000,confirmed_bass_drum_hit,192,8.000000,0.000726
12,8.452063,14.452063,1.000000,confirmed_bass_drum_hit,203,8.458333,0.006270
13,8.893243,14.893243,1.000000,confirmed_bass_drum_hit,214,8.916667,0.023424
14,9.949751,15.949751,1.000000,confirmed_bass_drum_hit,239,9.958333,0.008582
15,10.402540,16.402540,1.000000,confirmed_bass_drum_hit,250,10.416667,0.014127
16,11.338356,17.338356,1.000000,confirmed_bass_drum_hit,273,11.375000,0.036644
17,12.341406,18.341406,1.000000,confirmed_bass_drum_hit,297,12.375000,0.033594
18,12.805805,18.805805,0.846605,confirmed_bass_drum_hit,308,12.833333,0.027528
19,13.258594,19.258594,0.906464,confirmed_bass_drum_hit,319,13.291667,0.033073
20,13.711383,19.711383,0.834329,confirmed_bass_drum_hit,330,13.750000,0.038617
21,14.793912,20.793912,1.000000,confirmed_bass_drum_hit,356,14.833333,0.039421
22,15.242891,21.242891,1.000000,confirmed_bass_drum_hit,366,15.250000,0.007109
23,16.145839,22.145839,1.000000,confirmed_bass_drum_hit,388,16.166667,0.020828
24,17.203435,23.203435,1.000000,confirmed_bass_drum_hit,413,17.208333,0.004898
25,17.652415,23.652415,1.000000,confirmed_bass_drum_hit,424,17.666667,0.014252
