index,relative_time_seconds,global_time_seconds,strength,nearest_onset_relative_seconds,nearest_onset_distance_seconds,pulse_peak_frame,pulse_peak_relative_seconds,pulse_peak_offset_seconds
0,0.388000,6.388000,1.000000,0.359909,0.028091,10,0.416667,0.028667
1,1.293578,7.293578,0.776115,1.277098,0.016481,31,1.291667,-0.001911
2,2.199156,8.199156,0.742042,2.263946,0.064789,53,2.208333,0.009177
3,3.104735,9.104735,1.000000,3.169524,0.064789,75,3.125000,0.020265
4,4.010313,10.010313,1.000000,4.075102,0.064789,97,4.041667,0.031354
5,4.915891,10.915891,0.760147,4.980680,0.064789,118,4.916667,0.000776
6,5.821469,11.821469,0.896124,5.886259,0.064789,140,5.833333,0.011864
7,6.727048,12.727048,0.729074,6.687347,0.039701,162,6.750000,0.022952
8,7.632626,13.632626,1.000000,7.558095,0.074531,183,7.625000,-0.007626
9,8.538204,14.538204,1.000000,8.463673,0.074531,205,8.541667,0.003463
10,9.443782,15.443782,0.731417,9.462132,0.018349,227,9.458333,0.014551
11,10.349361,16.349361,1.000000,10.402540,0.053179,249,10.375000,0.025639
12,11.254939,17.254939,0.838598,11.296508,0.041569,270,11.250000,-0.004939
13,12.160517,18.160517,0.726714,12.178866,0.018349,292,12.166667,0.006150
14,13.066095,19.066095,0.756486,13.072834,0.006739,314,13.083333,0.017238
15,13.971673,19.971673,0.735963,13.966803,0.004871,336,14.000000,0.028327
16,14.877252,20.877252,0.762814,14.802721,0.074531,357,14.875000,-0.002252
17,15.782830,21.782830,1.000000,15.801179,0.018349,379,15.791667,0.008837
18,16.688408,22.688408,0.729439,16.660317,0.028091,401,16.708333,0.019925
19,17.593986,23.593986,1.000000,17.600726,0.006739,423,17.625000,0.031014
20,18.499565,24.499565,0.731526,18.448254,0.051311,444,18.500000,0.000435
21,19.405143,25.405143,0.761200,19.342222,0.062921,466,19.416667,0.011524
22,20.310721,26.310721,0.820635,20.294240,0.016481,488,20.333333,0.022612
23,21.216299,27.216299,0.734493,21.234649,0.018349,509,21.208333,-0.007966
24,22.121878,28.121878,0.744484,22.117007,0.004871,531,22.125000,0.003122
25,23.027456,29.027456,0.772619,23.092245,0.064789,553,23.041667,0.014211
26,23.933034,29.933034,1.000000,23.904943,0.028091,575,23.958333,0.025299
