index,relative_time_seconds,global_time_seconds,strength,verification,matched_primary_bass_drum_global_seconds,pulse_peak_frame,pulse_peak_relative_seconds,pulse_peak_offset_seconds
0,0.359909,6.359909,1.000000,primary_confirmed_bass_drum_hit,6.359909,9,0.375000,0.015091
1,0.801088,6.801088,1.000000,primary_confirmed_bass_drum_hit,6.801088,20,0.833333,0.032245
2,1.277098,7.277098,0.655223,support_rhythm_accent_not_claimed_as_bass_drum,,31,1.291667,0.014569
3,1.706667,7.706667,1.000000,primary_confirmed_bass_drum_hit,7.706667,41,1.708333,0.001666
4,2.263946,8.263946,0.648408,support_rhythm_accent_not_claimed_as_bass_drum,,55,2.291667,0.027721
5,2.763175,8.763175,0.991799,primary_confirmed_bass_drum_hit,8.763175,67,2.791667,0.028492
6,3.192744,9.192744,1.000000,primary_confirmed_bass_drum_hit,9.192744,77,3.208333,0.015589
7,3.657143,9.657143,1.000000,primary_confirmed_bass_drum_hit,9.657143,88,3.666667,0.009524
8,4.098322,10.098322,1.000000,primary_confirmed_bass_drum_hit,10.098322,99,4.125000,0.026678
9,5.154830,11.154830,1.000000,primary_confirmed_bass_drum_hit,11.154830,124,5.166667,0.011837
10,5.596009,11.596009,1.000000,primary_confirmed_bass_drum_hit,11.596009,135,5.625000,0.028991
11,6.501587,12.501587,1.000000,primary_confirmed_bass_drum_hit,12.501587,157,6.541667,0.040080
12,7.546485,13.546485,1.000000,primary_confirmed_bass_drum_hit,13.546485,182,7.583333,0.036848
13,7.999274,13.999274,1.000000,primary_confirmed_bass_drum_hit,13.999274,192,8.000000,0.000726
14,8.452063,14.452063,1.000000,primary_confirmed_bass_drum_hit,14.452063,203,8.458333,0.006270
15,8.893243,14.893243,1.000000,primary_confirmed_bass_drum_hit,14.893243,214,8.916667,0.023424
16,9.949751,15.949751,1.000000,primary_confirmed_bass_drum_hit,15.949751,239,9.958333,0.008582
17,10.402540,16.402540,1.000000,primary_confirmed_bass_drum_hit,16.402540,250,10.416667,0.014127
18,10.983039,16.983039,0.693661,support_rhythm_accent_not_claimed_as_bass_drum,,264,11.000000,0.016961
19,12.341406,18.341406,0.700000,support_rhythm_accent_not_claimed_as_bass_drum,,297,12.375000,0.033594
20,12.805805,18.805805,0.669321,support_rhythm_accent_not_claimed_as_bass_drum,,308,12.833333,0.027528
21,13.258594,19.258594,0.681293,support_rhythm_accent_not_claimed_as_bass_drum,,319,13.291667,0.033073
22,13.711383,19.711383,0.666866,support_rhythm_accent_not_claimed_as_bass_drum,,330,13.750000,0.038617
23,14.744671,20.744671,0.700000,support_rhythm_accent_not_claimed_as_bass_drum,,354,14.750000,0.005329
24,15.209070,21.209070,1.000000,primary_confirmed_bass_drum_hit,21.209070,366,15.250000,0.040930
25,15.801179,21.801179,1.000000,primary_confirmed_bass_drum_hit,21.801179,380,15.833333,0.032154
26,17.147937,23.147937,1.000000,primary_confirmed_bass_drum_hit,23.147937,412,17.166667,0.018730
27,17.600726,23.600726,1.000000,primary_confirmed_bass_drum_hit,23.600726,423,17.625000,0.024274
28,18.053515,24.053515,0.666986,support_rhythm_accent_not_claimed_as_bass_drum,,434,18.083333,0.029818
29,19.110023,25.110023,0.658116,support_rhythm_accent_not_claimed_as_bass_drum,,459,19.125000,0.014977
30,19.667302,25.667302,0.655204,support_rhythm_accent_not_claimed_as_bass_drum,,473,19.708333,0.041031
31,20.294240,26.294240,0.664127,support_rhythm_accent_not_claimed_as_bass_drum,,488,20.333333,0.039093
32,21.014059,27.014059,0.650214,support_rhythm_accent_not_claimed_as_bass_drum,,505,21.041667,0.027608
33,21.594558,27.594558,0.655313,support_rhythm_accent_not_claimed_as_bass_drum,,519,21.625000,0.030442
34,22.117007,28.117007,0.648897,support_rhythm_accent_not_claimed_as_bass_drum,,531,22.125000,0.007993
35,22.685896,28.685896,0.650732,support_rhythm_accent_not_claimed_as_bass_drum,,545,22.708333,0.022437
36,23.150295,29.150295,1.000000,primary_confirmed_bass_drum_hit,29.150295,556,23.166667,0.016372
37,23.603084,29.603084,1.000000,primary_confirmed_bass_drum_hit,29.603084,567,23.625000,0.021916
38,24.160363,30.160363,0.655624,support_rhythm_accent_not_claimed_as_bass_drum,,580,24.166667,0.006304
