index,global_time_seconds,review_reel_time_seconds,audit_window_relative_seconds,subject,decision,decision_source,human_reaudit_required,corrected_audit_decision,strength,rejection_reason,sub_bass_35_95_strength,low_bass_45_130_strength,bass_body_55_180_strength
1,16.983039,10.983039,0.383039,Tacoma Narrows,rejected_not_bass_drum_hit,human_review_kept_rejected,True,True,0.968307,not_confirmed_as_audible_bass_drum_hit,0.800418183,0.70958696,0.224676044
2,17.338356,11.338356,0.738356,Tacoma Narrows,confirmed_bass_drum_hit,human_review_correction_from_diagnostic_peak,True,True,None,None,None,None,None
3,18.341406,12.341406,1.741406,Tacoma Narrows,confirmed_bass_drum_hit,human_review_correction_from_diagnostic_peak,True,True,1.0,manual_review_no_audible_bass_drum_prior_low_frequency_false_positive_region,1.070067046,1.154382458,1.083896452
4,18.805805,12.805805,2.205805,Tacoma Narrows,confirmed_bass_drum_hit,human_review_correction_from_diagnostic_peak,True,True,0.846605,manual_review_no_audible_bass_drum_prior_low_frequency_false_positive_region,0.43607985,0.244270502,0.257302194
5,19.258594,13.258594,2.658594,Tacoma Narrows,confirmed_bass_drum_hit,human_review_correction_from_diagnostic_peak,True,True,0.906464,manual_review_no_audible_bass_drum_prior_low_frequency_false_positive_region,0.766496511,0.266214038,0.263129916
6,19.711383,13.711383,3.111383,Tacoma Narrows,confirmed_bass_drum_hit,human_review_correction_from_diagnostic_peak,True,True,0.834329,manual_review_no_audible_bass_drum_prior_low_frequency_false_positive_region,0.242805379,0.324376372,0.390446457
7,20.793912,14.793912,4.193912,737 MAX,confirmed_bass_drum_hit,human_review_correction_from_737_diagnostic_peak,True,True,1.0,manual_review_no_audible_bass_drum_prior_low_frequency_false_positive_region,0.924528403,0.95498361,0.68499147
8,21.242891,15.242891,4.642891,737 MAX,confirmed_bass_drum_hit,human_review_correction_from_737_diagnostic_peak,True,True,1.0,None,0.906423017,0.797416534,0.372143154
9,22.145839,16.145839,5.545839,737 MAX,confirmed_bass_drum_hit,human_review_correction_from_737_diagnostic_peak,True,True,None,None,None,None,None
10,23.203435,17.203435,6.603435,737 MAX,confirmed_bass_drum_hit,human_review_correction_from_737_diagnostic_peak,True,True,1.0,None,1.047499012,1.059223507,1.000051189
11,23.652415,17.652415,7.052415,737 MAX,confirmed_bass_drum_hit,human_review_correction_from_737_diagnostic_peak,True,True,1.0,None,0.942893703,0.990888622,1.028989741
