#format: frame checksums
#version: 2
#hash: MD5
#software: Lavf62.3.100
#tb 0: 1/4
#media_type 0: video
#codec_id 0: rawvideo
#dimensions 0: 180x320
#sar 0: 1/1
#stream#, dts,        pts, duration,     size, hash
0,          0,          0,        1,    86400, 848bbc2e9283ddfaa9e689430477e149
0,          1,          1,        1,    86400, d11a4262466dc4b9e2fc2d89387c0d03
0,          2,          2,        1,    86400, cba2b58677dce70d27dbef453c53d06c
0,          3,          3,        1,    86400, 6a903c01d229355893093388440c5fcb
0,          4,          4,        1,    86400, 6d18455c742ec7357d75d376265f2189
0,          5,          5,        1,    86400, 0b6b5a07818ab0a202b3a546df3a6675
0,          6,          6,        1,    86400, 166b17f05ca72b6611010658a6d369bc
0,          7,          7,        1,    86400, 8596b865c15e60ae0bf864d42b796f5a
0,          8,          8,        1,    86400, c1ee4293d24a8f42386694011e885db6
0,          9,          9,        1,    86400, de228a117ecd29d4617ecf1c606ec627
0,         10,         10,        1,    86400, da155dbd34ebc2383662637cad24f8b0
0,         11,         11,        1,    86400, 5f486b2b9699467a191462719faba796
